additional_events,time,distance,dend_type
-0.115151515,-20,9,apic
-0.044848485,-19,9,apic
-0.037575758,-18,9,apic
0.147878788,-17,9,apic
-0.03030303,-16,9,apic
0.096969697,-15,9,apic
0.00969697,-14,9,apic
0.08969697,-13,9,apic
-0.100606061,-12,9,apic
-0.161212121,-11,9,apic
0.014545455,-10,9,apic
-0.231515152,-9,9,apic
0.083636364,-8,9,apic
0.118787879,-7,9,apic
-0.059393939,-6,9,apic
-0.170909091,-5,9,apic
0.014545455,-4,9,apic
-0.032727273,-3,9,apic
0.064242424,-2,9,apic
-0.145454545,-1,9,apic
-0.458181818,0,9,apic
-0.408484848,1,9,apic
-0.454545455,2,9,apic
-0.544242424,3,9,apic
-0.499393939,4,9,apic
-0.4,5,9,apic
-0.08,6,9,apic
-0.143030303,7,9,apic
-0.053333333,8,9,apic
-0.134545455,9,9,apic
-0.278787879,10,9,apic
-0.364848485,11,9,apic
-0.31030303,12,9,apic
-0.253333333,13,9,apic
-0.19030303,14,9,apic
-0.2,15,9,apic
-0.069090909,16,9,apic
-0.141818182,17,9,apic
-0.029090909,18,9,apic
0.126060606,-20,8,apic
-0.043636364,-19,8,apic
0.00969697,-18,8,apic
0.050909091,-17,8,apic
0.035151515,-16,8,apic
-0.003636364,-15,8,apic
-0.048484848,-14,8,apic
0.014545455,-13,8,apic
-0.021818182,-12,8,apic
-0.071515152,-11,8,apic
-0.021818182,-10,8,apic
-0.059393939,-9,8,apic
0.071515152,-8,8,apic
-0.065454545,-7,8,apic
-0.095757576,-6,8,apic
-0.035151515,-5,8,apic
0.001212121,-4,8,apic
0.033939394,-3,8,apic
0.020606061,-2,8,apic
-0.008484848,-1,8,apic
-0.103030303,0,8,apic
-0.161212121,1,8,apic
-0.153939394,2,8,apic
-0.136969697,3,8,apic
-0.157575758,4,8,apic
-0.084848485,5,8,apic
-0.08969697,6,8,apic
-0.106666667,7,8,apic
-0.075151515,8,8,apic
-0.024242424,9,8,apic
-0.109090909,10,8,apic
-0.11030303,11,8,apic
-0.069090909,12,8,apic
-0.037575758,13,8,apic
-0.118787879,14,8,apic
-0.035151515,15,8,apic
0.010909091,16,8,apic
0.04,17,8,apic
-0.042424242,18,8,apic
0.058181818,-20,7,apic
-0.052121212,-19,7,apic
-0.088484848,-18,7,apic
-0.15030303,-17,7,apic
-0.172121212,-16,7,apic
-0.002424242,-15,7,apic
-0.094545455,-14,7,apic
-0.117575758,-13,7,apic
-0.124848485,-12,7,apic
-0.059393939,-11,7,apic
0.060606061,-10,7,apic
0.027878788,-9,7,apic
0.07030303,-8,7,apic
-0.066666667,-7,7,apic
0,-6,7,apic
0.015757576,-5,7,apic
-0.029090909,-4,7,apic
0.121212121,-3,7,apic
0.132121212,-2,7,apic
0.066666667,-1,7,apic
-0.304242424,0,7,apic
-0.298181818,1,7,apic
-0.32969697,2,7,apic
-0.316363636,3,7,apic
-0.339393939,4,7,apic
-0.12969697,5,7,apic
-0.019393939,6,7,apic
-0.104242424,7,7,apic
-0.178181818,8,7,apic
-0.19030303,9,7,apic
-0.156363636,10,7,apic
-0.178181818,11,7,apic
-0.153939394,12,7,apic
-0.12969697,13,7,apic
-0.107878788,14,7,apic
-0.176969697,15,7,apic
-0.010909091,16,7,apic
-0.178181818,17,7,apic
-0.071515152,18,7,apic
0.014545455,-20,6,apic
0.004848485,-19,6,apic
-0.138181818,-18,6,apic
-0.144242424,-17,6,apic
0.004848485,-16,6,apic
0.002424242,-15,6,apic
0.020606061,-14,6,apic
-0.075151515,-13,6,apic
-0.145454545,-12,6,apic
0.016969697,-11,6,apic
0.106666667,-10,6,apic
0.07030303,-9,6,apic
0.105454545,-8,6,apic
0.059393939,-7,6,apic
0.023030303,-6,6,apic
0.013333333,-5,6,apic
-0.099393939,-4,6,apic
0.061818182,-3,6,apic
0.272727273,-2,6,apic
0.126060606,-1,6,apic
-0.484848485,0,6,apic
-0.443636364,1,6,apic
-0.339393939,2,6,apic
-0.393939394,3,6,apic
-0.332121212,4,6,apic
-0.059393939,5,6,apic
-0.043636364,6,6,apic
-0.176969697,7,6,apic
-0.202424242,8,6,apic
-0.229090909,9,6,apic
-0.252121212,10,6,apic
-0.192727273,11,6,apic
-0.135757576,12,6,apic
-0.100606061,13,6,apic
-0.2,14,6,apic
-0.122424242,15,6,apic
-0.082424242,16,6,apic
-0.136969697,17,6,apic
-0.115151515,18,6,apic
0.043636364,-20,5,apic
-0.006060606,-19,5,apic
0.037575758,-18,5,apic
0.032727273,-17,5,apic
0.093333333,-16,5,apic
-0.037575758,-15,5,apic
-0.014545455,-14,5,apic
-0.04969697,-13,5,apic
-0.064242424,-12,5,apic
0.032727273,-11,5,apic
0.023030303,-10,5,apic
-0.046060606,-9,5,apic
-0.092121212,-8,5,apic
0.064242424,-7,5,apic
-0.061818182,-6,5,apic
0.010909091,-5,5,apic
0.198787879,-4,5,apic
0.305454545,-3,5,apic
0.322424242,-2,5,apic
0.373333333,-1,5,apic
-0.235151515,0,5,apic
-0.332121212,1,5,apic
-0.292121212,2,5,apic
-0.195151515,3,5,apic
-0.292121212,4,5,apic
-0.223030303,5,5,apic
-0.12,6,5,apic
-0.175757576,7,5,apic
-0.261818182,8,5,apic
-0.153939394,9,5,apic
-0.237575758,10,5,apic
-0.19030303,11,5,apic
-0.208484848,12,5,apic
-0.095757576,13,5,apic
-0.11030303,14,5,apic
-0.109090909,15,5,apic
-0.087272727,16,5,apic
-0.094545455,17,5,apic
-0.072727273,18,5,apic
0.025454545,-20,4,apic
-0.029090909,-19,4,apic
0.088484848,-18,4,apic
0.084848485,-17,4,apic
0,-16,4,apic
0.026666667,-15,4,apic
-0.060606061,-14,4,apic
0.027878788,-13,4,apic
-0.111515152,-12,4,apic
-0.112727273,-11,4,apic
0.055757576,-10,4,apic
0.016969697,-9,4,apic
-0.152727273,-8,4,apic
0.056969697,-7,4,apic
-0.046060606,-6,4,apic
0.078787879,-5,4,apic
0.204848485,-4,4,apic
0.286060606,-3,4,apic
0.597575758,-2,4,apic
0.296969697,-1,4,apic
-0.198787879,0,4,apic
-0.261818182,1,4,apic
-0.288484848,2,4,apic
-0.099393939,3,4,apic
-0.281212121,4,4,apic
