additional_events,time,distance,dend_type
-0.158787879,-95,9,apic
-0.11030303,-90,9,apic
-0.067878788,-85,9,apic
-0.225454545,-80,9,apic
0.060606061,-75,9,apic
-0.04969697,-70,9,apic
-0.164848485,-65,9,apic
-0.04969697,-60,9,apic
-0.046060606,-55,9,apic
0.006060606,-50,9,apic
-0.002424242,-45,9,apic
0.105454545,-40,9,apic
-0.082424242,-35,9,apic
-0.215757576,-30,9,apic
-0.149090909,-25,9,apic
0.2,-20,9,apic
0.247272727,-15,9,apic
-0.042424242,-10,9,apic
-0.162424242,-5,9,apic
-0.115151515,0,9,apic
-0.220606061,5,9,apic
-0.421818182,10,9,apic
-0.446060606,15,9,apic
-0.367272727,20,9,apic
-0.241212121,25,9,apic
0.067878788,30,9,apic
-0.052121212,35,9,apic
-0.260606061,-95,8,apic
-0.223030303,-90,8,apic
-0.28969697,-85,8,apic
-0.107878788,-80,8,apic
-0.235151515,-75,8,apic
-0.010909091,-70,8,apic
-0.333333333,-65,8,apic
-0.35030303,-60,8,apic
0.149090909,-55,8,apic
-0.072727273,-50,8,apic
-0.013333333,-45,8,apic
0.046060606,-40,8,apic
-0.111515152,-35,8,apic
0.043636364,-30,8,apic
-0.001212121,-25,8,apic
-0.067878788,-20,8,apic
0.08969697,-15,8,apic
0.147878788,-10,8,apic
-0.146666667,-5,8,apic
0.201212121,0,8,apic
-0.547878788,5,8,apic
-0.509090909,10,8,apic
-0.492121212,15,8,apic
-0.425454545,20,8,apic
0.037575758,25,8,apic
-0.323636364,30,8,apic
-0.345454545,35,8,apic
-0.207272727,-95,7,apic
-0.042424242,-90,7,apic
-0.218181818,-85,7,apic
-0.27030303,-80,7,apic
0.004848485,-75,7,apic
-0.024242424,-70,7,apic
-0.396363636,-65,7,apic
-0.500606061,-60,7,apic
-0.118787879,-55,7,apic
0.216969697,-50,7,apic
-0.016969697,-45,7,apic
0.036363636,-40,7,apic
0.193939394,-35,7,apic
0.069090909,-30,7,apic
0.059393939,-25,7,apic
0.326060606,-20,7,apic
0.184242424,-15,7,apic
0.042424242,-10,7,apic
-0.155151515,-5,7,apic
-0.055757576,0,7,apic
0.046060606,5,7,apic
-0.509090909,10,7,apic
-0.461818182,15,7,apic
-0.517575758,20,7,apic
-0.113939394,25,7,apic
-0.064242424,30,7,apic
0.246060606,35,7,apic
-0.078787879,-95,6,apic
-0.140606061,-90,6,apic
-0.172121212,-85,6,apic
-0.380606061,-80,6,apic
0.019393939,-75,6,apic
0.044848485,-70,6,apic
-0.124848485,-65,6,apic
-0.106666667,-60,6,apic
0.014545455,-55,6,apic
-0.053333333,-50,6,apic
-0.056969697,-45,6,apic
-0.203636364,-40,6,apic
0.094545455,-35,6,apic
0.073939394,-30,6,apic
0.436363636,-25,6,apic
0.247272727,-20,6,apic
0.309090909,-15,6,apic
0.357575758,-10,6,apic
0.265454545,-5,6,apic
0.081212121,0,6,apic
-0.052121212,5,6,apic
-0.216969697,10,6,apic
-0.231515152,15,6,apic
-0.547878788,20,6,apic
-0.106666667,25,6,apic
-0.168484848,30,6,apic
0.084848485,35,6,apic
-0.08,-95,5,apic
-0.12969697,-90,5,apic
-0.118787879,-85,5,apic
-0.077575758,-80,5,apic
-0.026666667,-75,5,apic
-0.098181818,-70,5,apic
-0.103030303,-65,5,apic
-0.060606061,-60,5,apic
0.061818182,-55,5,apic
-0.035151515,-50,5,apic
-0.095757576,-45,5,apic
-0.084848485,-40,5,apic
-0.063030303,-35,5,apic
0.101818182,-30,5,apic
0.162424242,-25,5,apic
0.225454545,-20,5,apic
0.20969697,-15,5,apic
0.258181818,-10,5,apic
0.002424242,-5,5,apic
0.140606061,0,5,apic
-0.223030303,5,5,apic
-0.267878788,10,5,apic
-0.054545455,15,5,apic
