,additional_events,time,distance
0,0.5922330097087378,-20,9
1,0.36893203883495146,-19,9
2,0.019417475728155338,-18,9
3,0.24271844660194175,-17,9
4,0.1941747572815534,-16,9
5,-0.1262135922330097,-15,9
6,-0.2524271844660194,-14,9
7,0.11650485436893204,-13,9
8,0.42718446601941745,-12,9
9,0.5145631067961165,-11,9
10,0.019417475728155338,-10,9
11,0.14563106796116504,-9,9
12,0.23300970873786409,-8,9
13,-0.10679611650485436,-7,9
14,0.05825242718446602,-6,9
15,0.30097087378640774,-5,9
16,0.11650485436893204,-4,9
17,0.4563106796116505,-3,9
18,-0.42718446601941745,-2,9
19,0.1650485436893204,-1,9
20,0.24271844660194175,0,9
21,0.05825242718446602,1,9
22,0.0970873786407767,2,9
23,-0.18446601941747573,3,9
24,-0.038834951456310676,4,9
25,-0.21359223300970873,5,9
26,0.44660194174757284,6,9
27,-0.21359223300970873,7,9
28,0.1262135922330097,8,9
29,-0.14563106796116504,9,9
30,-0.1553398058252427,10,9
31,-0.44660194174757284,11,9
32,-0.08737864077669903,12,9
33,0.11650485436893204,13,9
34,-0.5631067961165048,14,9
35,-0.8252427184466019,15,9
36,-0.5922330097087378,16,9
37,-0.27184466019417475,17,9
38,-0.4563106796116505,18,9
39,0.17475728155339806,-20,8
40,0.1262135922330097,-19,8
41,-0.05825242718446602,-18,8
42,-0.02912621359223301,-17,8
43,0.11650485436893204,-16,8
44,-0.05825242718446602,-15,8
45,0.1553398058252427,-14,8
46,0.07766990291262135,-13,8
47,0.1262135922330097,-12,8
48,0.21359223300970873,-11,8
49,0.14563106796116504,-10,8
50,0.1553398058252427,-9,8
51,-0.1650485436893204,-8,8
52,-0.10679611650485436,-7,8
53,-0.02912621359223301,-6,8
54,0.13592233009708737,-5,8
55,0.17475728155339806,-4,8
56,-0.5436893203883495,-3,8
57,-0.27184466019417475,-2,8
58,-0.24271844660194175,-1,8
59,0.06796116504854369,0,8
60,0.17475728155339806,1,8
61,0.2621359223300971,2,8
62,0.5436893203883495,3,8
63,-0.11650485436893204,4,8
64,-0.019417475728155338,5,8
65,0.32038834951456313,6,8
66,0.23300970873786409,7,8
67,0.06796116504854369,8,8
68,-0.2621359223300971,9,8
69,-0.2912621359223301,10,8
70,-0.02912621359223301,11,8
71,-0.13592233009708737,12,8
72,-0.019417475728155338,13,8
73,-0.3592233009708738,14,8
74,-0.34951456310679613,15,8
75,-0.3786407766990291,16,8
76,-0.23300970873786409,17,8
77,-0.4174757281553398,18,8
78,0.02912621359223301,-20,7
79,-0.02912621359223301,-19,7
80,-0.14563106796116504,-18,7
81,-0.10679611650485436,-17,7
82,0.02912621359223301,-16,7
83,-0.04854368932038835,-15,7
84,-0.038834951456310676,-14,7
85,0.019417475728155338,-13,7
86,0.038834951456310676,-12,7
87,0.04854368932038835,-11,7
88,0.019417475728155338,-10,7
