,firing_rate,experiment
0,7.6,control
1,5.2,control
2,4.4,control
3,5.8,control
4,6.2,control
5,5.8,control
6,5.8,control
7,6.8,control
8,5.4,control
9,7.0,control
10,6.2,control
11,5.8,control
12,5.6,control
13,3.8,control
14,6.0,control
15,5.0,control
16,4.2,control
17,5.6,control
18,5.6,control
19,4.8,control
20,5.2,control
21,4.2,control
22,5.6,control
23,5.4,control
24,5.8,control
25,5.0,control
26,6.0,control
27,4.4,control
28,4.6,control
29,6.2,control
30,0.2,dendritic
31,0.4,dendritic
32,0.2,dendritic
33,0.2,dendritic
34,0.0,dendritic
35,0.2,dendritic
36,0.2,dendritic
37,0.4,dendritic
38,0.2,dendritic
39,0.2,dendritic
40,0.0,dendritic
41,0.2,dendritic
42,0.0,dendritic
43,0.4,dendritic
44,0.0,dendritic
45,0.2,dendritic
46,0.4,dendritic
47,0.2,dendritic
48,0.0,dendritic
49,0.2,dendritic
50,0.2,dendritic
51,0.4,dendritic
52,0.4,dendritic
53,0.4,dendritic
54,0.4,dendritic
55,0.0,dendritic
56,0.0,dendritic
57,0.2,dendritic
58,0.2,dendritic
59,0.0,dendritic
60,1.4,somatic
61,0.6,somatic
62,0.6,somatic
63,0.8,somatic
64,0.6,somatic
65,0.8,somatic
66,0.8,somatic
67,0.2,somatic
68,0.8,somatic
69,0.8,somatic
70,0.8,somatic
71,1.2,somatic
72,0.6,somatic
73,1.0,somatic
74,1.2,somatic
75,0.6,somatic
76,0.2,somatic
77,1.0,somatic
78,1.0,somatic
79,0.4,somatic
80,1.0,somatic
81,0.2,somatic
82,0.6,somatic
83,0.4,somatic
84,0.8,somatic
85,0.4,somatic
86,0.8,somatic
87,0.4,somatic
88,0.2,somatic
89,0.8,somatic
