,firing_rate,injected_current,experiment
0,0,0,control
1,4,100,control
2,9,200,control
3,11,300,control
4,13,400,control
5,14,500,control
6,16,600,control
7,17,700,control
8,18,800,control
9,18,900,control
10,19,1000,control
11,0,0,somatic
12,0,100,somatic
13,0,200,somatic
14,0,300,somatic
15,3,400,somatic
16,8,500,somatic
17,10,600,somatic
18,12,700,somatic
19,13,800,somatic
20,14,900,somatic
21,15,1000,somatic
22,0,0,dendritic
23,0,100,dendritic
24,0,200,dendritic
25,5,300,dendritic
26,9,400,dendritic
27,11,500,dendritic
28,13,600,dendritic
29,14,700,dendritic
30,15,800,dendritic
31,17,900,dendritic
32,17,1000,dendritic
